City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
446,Kavaratti,IN,80.94,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
452,Port Macquarie,AU,73.89,clear sky,-31.4333,152.9167,Rydges Port Macquarie
455,Foumban,CM,69.73,overcast clouds,5.7291,10.9001,Hotel Pekassa De Karche
457,Port Hedland,AU,75.25,clear sky,-20.3167,118.5667,The Esplanade Hotel
460,Ndioum,SN,80.49,overcast clouds,16.5129,-14.6471,l'hôtel samassa
464,San Carlos,VE,83.46,overcast clouds,9.6612,-68.5827,Hotel Paternopoli
466,Saraland,US,76.55,overcast clouds,30.8207,-88.0706,Microtel Inn & Suites by Wyndham Saraland/North Mobile
470,Coari,BR,76.66,moderate rain,-4.085,-63.1414,HOTEL ALEX FLAT
472,Santa Helena De Goias,BR,80.37,overcast clouds,-17.8136,-50.5969,Hotel Cana Verde
473,Gualeguay,AR,82.71,light rain,-33.1416,-59.3097,Cabañas Nuestro Refugio
479,Nouadhibou,MR,66.18,clear sky,20.931,-17.0347,El Medina
481,Lompoc,US,66.13,overcast clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
484,Alyangula,AU,76.87,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
488,Santa Maria,BR,81.7,clear sky,-29.6842,-53.8069,Hotel Morotin
494,Luanda,AO,78.8,light rain,-8.8368,13.2343,Hotel Fórum
495,Bhandara,IN,68.59,broken clouds,21.1667,79.65,STARiHOTELS Bhandara
496,Flinders,AU,67.17,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
497,Makakilo City,US,77.61,light rain,21.3469,-158.0858,Marriott's Ko Olina Beach Club
499,Cruzeiro Do Oeste,BR,78.67,clear sky,-23.785,-53.0733,Ramos hotel
501,Bosaso,SO,73.4,clear sky,11.2842,49.1816,Red Sea Hotel
504,Brookhaven,US,74.35,broken clouds,31.5791,-90.4407,Americas Best Value Inn Brookhaven
509,Orito,CO,76.59,overcast clouds,0.6766,-76.8771,Mayju
