City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
316,Half Moon Bay,US,37.4636,-122.4286,61.59,83,90,0.0,mist
317,Klaksvik,FO,62.2266,-6.589,32.92,67,41,5.06,scattered clouds
318,Kelo,TD,9.3086,15.8066,80.01,29,68,1.92,broken clouds
319,Novotroitsk,RU,51.203,58.3266,34.5,90,100,15.75,overcast clouds
320,Olenegorsk,RU,68.15,33.3,-4.16,100,51,0.76,broken clouds
321,Naryan-Mar,RU,67.6713,53.087,-7.47,96,26,6.06,scattered clouds
322,Boende,CD,-0.2167,20.8667,73.8,81,87,1.81,light rain
323,Uglegorsk,RU,49.0833,142.0333,18.57,78,94,14.97,overcast clouds
324,Epe,NG,6.5841,3.9834,79.68,88,100,4.85,overcast clouds
325,Sioux Lookout,CA,50.1001,-91.917,28.78,86,75,8.05,light snow
326,Aykhal,RU,66.0,111.5,-8.46,99,100,9.28,light snow
327,Saint-Philippe,RE,-21.3585,55.7679,78.35,85,14,8.77,few clouds
328,Ponta Do Sol,PT,32.6667,-17.1,65.03,69,64,9.33,broken clouds
329,Tubmanburg,LR,6.8708,-10.8172,75.9,93,93,1.54,light rain
330,Ahome,MX,25.9167,-109.1833,87.75,29,6,12.55,clear sky
331,Kiunga,PG,-6.1219,141.2906,76.66,96,94,1.48,heavy intensity rain
332,Bengkulu,ID,-3.8004,102.2655,76.37,89,100,5.37,light rain
333,Nikolskoye,RU,59.7035,30.7861,23.02,95,100,6.91,overcast clouds
334,Marrakesh,MA,31.6315,-8.0083,50.07,66,0,5.75,clear sky
335,Locri,IT,38.2414,16.2623,55.94,84,100,9.6,overcast clouds
336,Tezu,IN,27.9167,96.1667,63.99,55,100,3.4,overcast clouds
337,Tombouctou,ML,20.0,-3.0,69.89,18,42,11.07,scattered clouds
338,Parsons,US,37.3403,-95.2611,71.71,56,79,3.47,broken clouds
339,Laguna,US,38.421,-121.4238,76.23,100,90,0.0,mist
340,Atambua,ID,-9.1061,124.8925,76.21,82,99,2.93,overcast clouds
341,Menongue,AO,-14.6585,17.691,66.9,79,97,4.63,light rain
342,Namibe,AO,-15.1961,12.1522,73.27,63,39,6.04,scattered clouds
343,Agadir,MA,30.4202,-9.5982,52.25,57,0,3.65,clear sky
344,Hofn,IS,64.2539,-15.2082,30.87,54,9,10.09,clear sky
345,Tiarei,PF,-17.5333,-149.3333,84.22,75,18,17.11,few clouds
346,Marilia,BR,-22.2139,-49.9458,76.32,50,24,3.29,few clouds
347,Zavoronezhskoye,RU,52.8801,40.5526,43.77,85,100,22.12,overcast clouds
348,Krotoszyn,PL,51.6987,17.4374,32.76,65,91,12.19,overcast clouds
349,Rio Gallegos,AR,-51.6226,-69.2181,69.85,28,75,12.66,broken clouds
350,Mana,GF,5.6592,-53.7767,77.85,87,27,7.0,scattered clouds
351,Ornskoldsvik,SE,63.2909,18.7153,23.95,100,90,8.05,light snow
352,Emerald,AU,-23.5333,148.1667,82.98,68,90,8.05,overcast clouds
353,Adrar,MR,20.5022,-10.0711,67.37,22,100,10.63,overcast clouds
354,Bathsheba,BB,13.2167,-59.5167,83.01,74,40,12.66,scattered clouds
355,Chicama,PE,-7.8447,-79.1469,66.74,67,68,9.26,broken clouds
356,Comodoro Rivadavia,AR,-45.8667,-67.5,71.46,30,0,21.85,clear sky
357,Bethel,US,41.3712,-73.414,43.38,51,1,1.99,clear sky
358,Marienburg,PL,54.0359,19.0266,34.12,79,100,14.12,overcast clouds
359,Robe,AU,-37.1833,139.75,58.17,68,100,15.03,overcast clouds
360,Paamiut,GL,61.994,-49.6678,20.8,64,100,14.47,overcast clouds
361,Nalut,LY,30.3333,10.85,47.01,56,1,11.99,clear sky
362,Baghdad,IQ,33.3406,44.4009,46.31,53,0,4.61,clear sky
363,Gelemso,ET,8.8167,40.5167,57.81,49,6,2.28,clear sky
364,Murgab,TM,37.4966,61.9714,40.87,75,90,11.5,overcast clouds
365,Burnie,AU,-41.0667,145.9167,55.47,73,70,14.63,broken clouds
366,Konstantinovka,RU,49.6167,127.9833,-18.56,92,7,3.24,clear sky
367,Koungou,YT,-12.7336,45.2042,80.31,83,0,4.61,clear sky
368,Dongzhen,CN,22.3797,110.9389,53.28,42,79,4.0,broken clouds
369,Ayr,GB,55.4627,-4.6339,47.5,81,75,14.97,broken clouds
370,Zhumadian,CN,32.9794,114.0294,43.32,35,66,3.29,broken clouds
371,Buta,CD,2.7858,24.73,69.33,95,100,0.54,overcast clouds
372,Bansgaon,IN,26.5586,83.3481,64.17,69,69,4.27,broken clouds
373,Bonthe,SL,7.5264,-12.505,80.47,80,97,5.75,overcast clouds
374,Sokone,SN,13.8833,-16.3667,85.89,15,90,9.4,overcast clouds
375,Lichinga,MZ,-13.3128,35.2406,68.09,68,0,8.05,clear sky
376,Sao Filipe,CV,14.8961,-24.4956,75.83,68,87,13.2,overcast clouds
377,Charlottesville,US,38.0293,-78.4767,62.62,26,3,2.28,clear sky
378,Zyryanka,RU,65.75,150.85,-13.34,99,100,5.46,overcast clouds
379,Pangkalanbuun,ID,-2.6833,111.6167,74.34,98,96,3.31,moderate rain
380,Birin,NP,26.8865,88.0718,51.55,82,91,3.53,overcast clouds
