City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
46,Kilrush,IE,2021-11-30 23:01:13,52.6397,-9.4833,47.95,83,83,28.03
47,Itarema,BR,2021-11-30 23:01:14,-2.9248,-39.9167,80.62,77,98,15.39
48,Ushuaia,AR,2021-11-30 22:56:55,-54.8,-68.3,60.46,33,40,20.71
49,Yellowknife,CA,2021-11-30 23:01:14,62.456,-114.3525,-16.71,91,91,9.28
50,Inuvik,CA,2021-11-30 22:57:06,68.3499,-133.7218,-24.74,75,20,1.14
51,Talara,PE,2021-11-30 23:01:15,-4.5772,-81.2719,66.92,87,85,16.62
52,Puerto Ayora,EC,2021-11-30 23:00:52,-0.7393,-90.3518,70.34,87,81,8.84
53,Vaini,TO,2021-11-30 23:01:16,-21.2,-175.2,76.77,72,15,17.87
54,Areia Branca,BR,2021-11-30 23:01:16,-4.9561,-37.1369,81.01,79,94,18.14
55,Yatou,CN,2021-11-30 23:01:16,37.15,122.3833,38.39,49,91,19.82
56,Tafresh,IR,2021-11-30 23:01:17,34.692,50.013,49.77,36,92,4.76
57,Kapaa,US,2021-11-30 22:58:50,22.0752,-159.319,79.2,73,23,4.0
58,Rio Grande,BR,2021-11-30 23:00:29,-32.035,-52.0986,67.95,84,9,17.9
59,Ribeira Grande,PT,2021-11-30 23:01:18,38.5167,-28.7,63.0,74,18,12.84
60,Simi,SL,2021-11-30 23:01:18,9.5667,-12.35,76.77,78,46,4.09
61,Dong Hoi,VN,2021-11-30 23:01:19,17.4833,106.6,70.52,71,100,17.52
62,Bluff,NZ,2021-11-30 23:01:19,-46.6,168.3333,60.8,72,94,14.12
63,Pontes E Lacerda,BR,2021-11-30 23:01:19,-15.2261,-59.3353,73.33,97,99,2.64
64,Camacha,PT,2021-11-30 23:01:20,33.0833,-16.3333,61.54,67,20,5.75
65,Lompoc,US,2021-11-30 23:01:20,34.6391,-120.4579,82.71,43,0,4.0
66,Maldonado,UY,2021-11-30 23:01:20,-34.6667,-54.9167,61.23,90,89,10.36
67,Lujiang,CN,2021-11-30 23:01:21,31.2581,117.2817,36.68,53,0,3.98
68,Pevek,RU,2021-11-30 23:00:22,69.7008,170.3133,-12.03,99,96,2.1
69,Khatanga,RU,2021-11-30 23:01:21,71.9667,102.5,-41.49,100,79,1.7
70,Kavieng,PG,2021-11-30 23:01:22,-2.5744,150.7967,84.27,67,82,11.77
71,Kruisfontein,ZA,2021-11-30 23:01:22,-34.0033,24.7314,61.88,80,62,2.8
72,Hermanus,ZA,2021-11-30 23:01:23,-34.4187,19.2345,61.81,76,80,11.61
73,Boa Vista,BR,2021-11-30 23:01:02,2.8197,-60.6733,83.01,65,99,4.81
74,Hilo,US,2021-11-30 23:01:23,19.7297,-155.09,79.25,83,87,1.99
75,Carutapera,BR,2021-11-30 23:01:24,-1.195,-46.02,80.44,79,98,8.34
76,Abnub,EG,2021-11-30 23:01:24,27.2696,31.1511,68.23,68,100,14.14
77,Tecoanapa,MX,2021-11-30 23:01:24,16.5167,-98.75,83.08,69,44,8.66
78,Cap Malheureux,MU,2021-11-30 23:01:25,-19.9842,57.6142,73.47,76,0,1.99
79,Hauterive,FR,2021-11-30 23:01:25,46.0901,3.4459,42.58,71,96,7.92
80,Salamiyah,SY,2021-11-30 23:01:26,35.0113,37.0532,60.39,73,99,21.77
81,New Norfolk,AU,2021-11-30 23:01:26,-42.7826,147.0587,73.71,38,79,4.16
82,Karasjok,NO,2021-11-30 23:01:26,69.4719,25.5112,1.51,91,100,5.88
83,Yulara,AU,2021-11-30 23:01:27,-25.2406,130.9889,88.02,14,0,7.72
84,Tasiilaq,GL,2021-11-30 23:01:27,65.6145,-37.6368,9.05,87,19,4.83
85,Alofi,NU,2021-11-30 23:00:06,-19.0595,-169.9187,78.94,70,43,16.58
86,Xiaoshi,CN,2021-11-30 23:01:28,41.2971,124.1209,15.82,94,93,4.41
87,Matagami,CA,2021-11-30 23:01:28,49.7502,-77.6328,23.11,100,90,8.05
88,Mar Del Plata,AR,2021-11-30 22:57:50,-38.0023,-57.5575,60.82,75,0,15.01
89,Tuktoyaktuk,CA,2021-11-30 23:02:29,69.4541,-133.0374,-27.54,100,54,3.89
90,Altoona,US,2021-11-30 23:02:29,40.5187,-78.3947,42.69,70,81,3.0
91,Rexburg,US,2021-11-30 23:02:30,43.826,-111.7897,40.28,70,1,4.61
92,Altay,CN,2021-11-30 23:02:30,47.8667,88.1167,16.72,59,16,7.65
93,Matamoros,MX,2021-11-30 23:02:30,25.5333,-103.25,78.91,29,75,4.61
94,Lavrentiya,RU,2021-11-30 23:02:31,65.5833,-171.0,-13.5,88,5,8.84
95,Quelimane,MZ,2021-11-30 23:02:31,-17.8786,36.8883,70.54,85,2,3.24
96,Inzhavino,RU,2021-11-30 23:02:32,52.3185,42.4937,33.12,77,95,6.15
97,Jalu,LY,2021-11-30 23:02:32,29.0331,21.5482,57.83,80,17,8.3
98,Vostok,RU,2021-11-30 23:02:32,46.4856,135.8833,7.14,97,100,5.32
99,Vrable,SK,2021-11-30 23:02:33,48.2437,18.3085,39.69,98,100,17.63
100,Miranda,CO,2021-11-30 23:02:33,3.2499,-76.2281,67.57,92,100,2.42
101,Makakilo City,US,2021-11-30 22:59:00,21.3469,-158.0858,80.56,66,75,11.5
102,Pringsewu,ID,2021-11-30 23:02:34,-5.3582,104.9744,72.54,96,99,2.28
103,Lagoa,PT,2021-11-30 23:02:34,39.05,-27.9833,61.75,76,8,10.65
104,Yozgat,TR,2021-11-30 23:02:35,39.5833,35.3333,40.96,74,100,11.27
105,Bodden Town,KY,2021-11-30 23:02:35,19.2833,-81.25,78.93,76,5,3.0
106,Codrington,AU,2021-11-30 23:02:35,-38.2667,141.9667,66.49,63,74,11.45
107,Cooma,AU,2021-11-30 23:02:36,-36.2333,149.1333,70.9,59,96,1.41
108,Quibdo,CO,2021-11-30 23:00:09,5.6947,-76.6611,73.18,98,100,0.69
109,Ixtapa,MX,2021-11-30 23:00:10,20.7,-105.2,81.23,80,98,3.0
110,San Policarpo,PH,2021-11-30 23:02:37,12.1791,125.5072,79.66,87,100,6.98
111,Nikolskoye,RU,2021-11-30 23:02:37,59.7035,30.7861,22.91,93,100,8.37
112,Mizdah,LY,2021-11-30 23:02:37,31.4451,12.9801,46.83,60,18,2.08
